Автор,Статус заказа,Дата отзыва,Кол-во звезд,Текст отзыва,Артикул
Малика,Выкупили,"20 июня, 15:40",star3,"Немеет язык после полоскания примерно на 20 минут , десна обезболивает хорошо",24716557.0
Галина,Выкупили,"20 июня, 14:15",star5,Достоинства:Пользуемся по рекомендации стоматолога.Комментарий:Очень нравится!,24716557.0
Наталья,Выкупили,"19 июня, 22:15",star5,"Не знаю как описать свой восторг. На деснах появились болячки, разодрала, да такие, что есть больно было и спать не могла. Заказала пасту, ополаскиватель и гель асепта. И чудо случилось сразу, как я почистила зубы. А после полного комплекса на утро уже ничего не болело, и на второй день использования почти полностью все зажило. Про эту фирму узнала от своего стоматолога.",24716557.0
Дарья,Выкупили,"18 июня, 23:38",star5,Хорошо и быстро избавили всю семью от кровоточащих десен🤗 спасибо большоеВпечатления покупателя про:отличное качество,24716557.0
Евгения песле,Выкупили,"17 июня, 19:59",star1,"Недостатки:Не знаю, что в этом ополаскивателе, но от него раздражение десен еще больше.
На вкус просто термоядерный, аж сводит рот. Удивляюсь, откуда столько положительных отзывов.
От обычной мятной полоскалки и то больше толкаВпечатления покупателя про:состав",24716557.0
Светлана,Выкупили,"17 июня, 17:45",star5,"Пользуюсь постоянно , очень помогает при парадантозе!Впечатления покупателя про:легко использоватьотличное качествоприятный запаххорошая цена",24716557.0
Покупатель Wildberries,Выкупили,"14 июня, 18:43",star5,Достоинства:Муж только им пользуется от воспаления дёсен,24716557.0
Ирина,Выкупили,"13 июня, 17:49 • Дополнен",star5,Беру не первый раз и всегда очень хороший результат!рекомендую !Первоначальный отзыв,24716557.0
Татьяна,Выкупили,"13 июня, 15:18",star5,Достоинства:Мужу понравился качеством и дезинфекциейВпечатления покупателя про:отличное качествонатуральный состав,24716557.0
Покупатель Wildberries,Выкупили,"11 июня, 11:29",star5,"Достоинства:Хорошая штука ,десна перестали кровоточитьНедостатки:Быстро заканчивается ))",24716557.0
Покупатель Wildberries,Выкупили,"10 июня, 15:27",star5,"Достоинства:Не первый раз заказываю, очень нравитсяНедостатки:НетКомментарий:СпасибоВпечатления покупателя про:отличное качествохорошая цена",24716557.0
Марина,Выкупили,"10 июня, 12:55",star5,Ещё не пробовала.Впечатления покупателя про:отличное качествохорошая цена,24716557.0
Раиль,Выкупили,"09 июня, 21:41",star5,"Достоинства:Хороший ополаскиватель, вкус норм, дети тоже выдерживают ополаскиватель",24716557.0
Людмила,Выкупили,"09 июня, 09:08",star5,Достоинства:Отлично-беру не первый раз.,24716557.0
Татьяна,Выкупили,"09 июня, 09:07",star5,Достоинства:СуперВпечатления покупателя про:приятный запахнатуральный состав,24716557.0
Галина Владимировна,Выкупили,"09 июня, 08:53",star5,Достоинства:Самый лучший ❤️ ополаскиватель 👍,24716557.0
Саида,Выкупили,"07 июня, 20:22",star5,"Достоинства:хороший ополаскиватель, мне нужно было немного разбавлять водой 2 части ополаскивателя + 1 часть воды, иначе появляется онемение языка, которое проходить минут через 5, со своей задачей справляется, использовала после чистки камней и лечения зубов.",24716557.0
Анна,Выкупили,"07 июня, 10:48",star5,"Достоинства:Дочери назначил стоматолог. 
Быстро удалось купить.Недостатки:-Комментарий:Благодарю🩵Впечатления покупателя про:легко использоватьотличное качествонатуральный составхорошая цена",24716557.0
Покупатель Wildberries,Выкупили,"06 июня, 22:57",star5,"Достоинства:Муж только им пользуется, очень помогает для дёсен.",24716557.0
Татьяна,Выкупили,"06 июня, 13:16",star4,"Достоинства:Ополаскиватель очень класныйКомментарий:Но пришла вот такая крышка мерная лопнутая,т.е плохо упаковывают,экономят на мягкой плёнке",24716557.0
Ольга,Выкупили,"04 июня, 14:13",star5,"Достоинства:Классный!Особенно для тех,кто носит брекеты",24716557.0
Тамара,Выкупили,"04 июня, 02:04",star5,"Недостатки:Очень, очень понравился, большое спасибо.Впечатления покупателя про:легко использоватьотличное качествоприятный запахнатуральный составхорошая цена",24716557.0
Светлана,Выкупили,"04 июня, 00:21",star5,"Достоинства:Хорошо обезбаливает, надолго.",24716557.0
Юлия,Выкупили,"03 июня, 22:39",star5,Достоинства:Отличное средство для проблемных дёсен. Беру не первый раз.Впечатления покупателя про:легко использоватьотличное качествохорошая цена,24716557.0
Алим,Выкупили,"03 июня, 00:26",star5,"Достоинства:очень помогает при воспалениях ротовой полости будь то десна или стамотит  , уменьшает боль и ускоряет процесс заживления",24716557.0
Елена,Выкупили,"01 июня, 16:16",star5,Достоинства:Отлично освежает,24716557.0
Леонид,Выкупили,"01 июня, 11:03",star5,Достоинства:Заказывал уже не первый раз. И всегда приходит вовремя и хорошо упаковано. Хорошо помогает при воспалении дёсен.Комментарий:Советую продавца. Спасибо.,24716557.0
Владимир,Выкупили,"30 мая, 20:33",star5,Достоинства:Отличный ополаскиватель,24716557.0
Лариса,Выкупили,"28 мая, 09:22",star5,Достоинства:Хорошо устраняет кровоточивость десенНедостатки:Все понравилосьКомментарий:Заказала вторую,24716557.0
Светлана,Выкупили,"27 мая, 06:57",star5,"Достоинства:Прекрасное спелство, при имплантации зубов именно то что нужно...",24716557.0
Ольга,Выкупили,"26 мая, 13:14",star4,Недостатки:Пришел в мятой коробке и треснутый мерный стакан,24716557.0
Леонид,Выкупили,"25 мая, 16:47",star5,Достоинства:Приятный вкус и запах,24716557.0
Ольга,Выкупили,"25 мая, 14:40",star5,"Ядреная штука конечно. Очень хорошо мята ""замораживает"", минут на 40 точно, но мне нравится. Действительно сразу же сняло болевые ощущения в десне.буду брать ещё))",24716557.0
Покупатель Wildberries,Выкупили,"23 мая, 22:06",star5,Достоинства:Очень люблю эту фирму. Беру всё. Очень довольна ополаскивателем.,24716557.0
Лидия,Выкупили,"23 мая, 18:24",star5,Достоинства:Всё супер спасибо огромное прадовцу.,24716557.0
Елена,Выкупили,"22 мая, 18:25",star5,"Упаковано в пупырку и заводскую упаковку. Немного понято, но не критично. Спасибо )",24716557.0
Маргарита,Выкупили,"22 мая, 17:16",star5,"Очень хороший ополаскиватель, особенно при кровоточивости десен.",24716557.0
Патимат,Отказались,"21 мая, 15:33",star1,Недостатки:Был возврат из за состава,24716557.0
Татьяна,Выкупили,"20 мая, 18:13",star5,"Достоинства:Быстро заживляет ранки во рту,обезболивает,очень хорошо освежает.",24716557.0
Ольга,Выкупили,"20 мая, 14:16",star5,Достоинства:Действительно очень хороший ополаскиватель. Рекомендую.,24716557.0
Людмила,Выкупили,"19 мая, 15:48",star5,Достоинства:Буду пробовать...Не все подходит...,24716557.0
Покупатель Wildberries,Выкупили,"19 мая, 14:02",star5,👍,24716557.0
Оксана Губерт,Выкупили,"18 мая, 18:04",star5,"Достоинства:Пробовали бальзам. Но по совету стоматолога ополаскиватель сказал тоже очень хороший.  Будем пробовать. У сына больные дёсна,если всё будет хорошо, будем заказывать ещё и ещё. Спасибо.",24716557.0
Покупатель Wildberries,Выкупили,"18 мая, 17:25",star5,Достоинства:Заказываю постоянно,24716557.0
Татьяна,Выкупили,"17 мая, 18:59",star5,Советую к покупке!,24716557.0
Юрий,Выкупили,"16 мая, 17:56",star5,Достоинства:Хороший ополаскиватель,24716557.0
Анна,Выкупили,"12 мая, 22:55",star3,"В целом неплохой,но как такого эфекта я не заметила
Очень уж немеет язык
Не ощущаю во рту запах свежести
Больше не буду заказывать",24716557.0
Марина,Выкупили,"10 мая, 13:22",star5,Ополаскиватель пришёл в коробке хорошо запакованный товар качественный оригинал продавца рекомендую,24716557.0
Анжелика,Выкупили,"08 мая, 07:12",star5,"Достоинства:Все ,упаковка и качество на  100 баллов,продавца рекомендую, спасибо большое",24716557.0
Юлия,Выкупили,"06 мая, 19:59",star5,"Достоинства:В срок, хорошо упаковано.",24716557.0
Леонид,Выкупили,"06 мая, 16:07",star5,Достоинства:Заказывал,24716557.0
Мила,Выкупили,"05 мая, 17:19",star5,Достоинства:Пришел целый  ополаскиватель.  Понравился!,24716557.0
Светлана,Выкупили,"03 мая, 09:46",star5,"Хороший ополаскиватель, снизил кровоточивость дёсен вместе с зубной пастой этой же фирмы",24716557.0
Елена,Выкупили,"01 мая, 15:55",star4,"Недостатки:Не понравилось, раз попробывала и больше не хочу. Язык немеет от него.",24716557.0
Виктория,Выкупили,"29 апреля, 21:58",star3,"Если честно за 2 недели изменений не заметила(( как кровоточили десна,так и кровоточат. Толи покупать ещё и полоскать дальше или искать какой то другой ополаскивательВпечатления покупателя про:эффект от средства",24716557.0
Екатерина,Выкупили,"29 апреля, 17:55",star5,"Достоинства:Отличный ополаскиватель. Особенно при болях, обезбаливает. Рекомендую",24716557.0
Юлия,Выкупили,"28 апреля, 20:38",star4,"Достоинства:Хороший ополаскиватель, но пришёл со сломанным колпачком",24716557.0
Елена,Выкупили,"28 апреля, 12:06",star5,"Оригинал, в аптеке подороже 👍🏼",24716557.0
Полина,Выкупили,"28 апреля, 00:28",star5,"Достоинства:Действительно есть ощущение анестетика, я передержала по времени и час ничего не ощущала, но для людей у которых присутствует боль самое то. Очень понравилось, что нет ядерного эффекта мяты, от которой во рту все горит. После ополаскивателя ощущение чистоты и свежести. При правильном применении все супер) Спасибо вам!",24716557.0
Марина,Выкупили,"26 апреля, 04:42",star5,"Хороший, мне понравился.",24716557.0
Любовь,Выкупили,"25 апреля, 20:29",star5,"Достоинства:Всё отлично упаковано, доставка быстрая, спасибо!",24716557.0
Наталья,Выкупили,"24 апреля, 12:51",star5,Достоинства:Хороший ополаскиватель,24716557.0
Евгений,Выкупили,"22 апреля, 20:45",star5,"Достоинства:Честно, не ожидал такого эффекта. Прочитал в отзывах, что предотвращает кровоточивость дёсен и решил купить и попробовать. Думал, ну..., через некоторое время пользования может поможет... Офигел, что уже на второй раз чистки зубов всё практически зажило! Не ожидал! Эффект на всё 100% и более. Удивлён",24716557.0
Покупатель Wildberries,Выкупили,"22 апреля, 15:19",star4,Достоинства:Пришел в слюде в коробочке но почему-то чуть чуть не полный,24716557.0
Людмила,Отказались,"22 апреля, 15:10",star5,"Достоинства:пришлось оформить возврат по причине того, что пришел поврежденным, даже вытекал((",24716557.0
Галина,Выкупили,"21 апреля, 22:59",star5,Достоинства:Очень приятный на вкус,24716557.0
Покупатель Wildberries,Выкупили,"21 апреля, 07:14",star5,"Достоинства:Хорошо упаковано, всё целое",24716557.0
Юлия,Выкупили,"21 апреля, 05:59",star5,Достоинства:Всё хорошо,24716557.0
Марина,Выкупили,"20 апреля, 20:32",star5,"Отличный ополаскиватель 💯
Беру не первый раз ❤️‍🔥. Убирает воспаление дёсен и кровоточивость.Советую всем у кого воспаляются дёсна, очень хороший результат 👍👍👍",24716557.0
Гульназ,Выкупили,"19 апреля, 02:42",star2,"Достоинства:Пришло в ураковкеНедостатки:Язык немеет, как после лечения зубов, как будто анестезию вкололи, минут на 20
Не хотелось бы такого эффекта",24716557.0
Таисия,Выкупили,"18 апреля, 20:01",star3,"Достоинства:Упаковка хорошаяНедостатки:Мне не подошёл, язык щиплетВпечатления покупателя про:эффект от средства",24716557.0
Зилола,Выкупили,"18 апреля, 09:16",star5,Достоинства:Покупаю уже второй ! Хороший именно activ,24716557.0
Покупатель Wildberries,Выкупили,"16 апреля, 07:01",star5,Достоинства:Хороший ополаскиватель.беру  постоянно,24716557.0
Покупатель Wildberries,Выкупили,"15 апреля, 21:09",star5,Достоинства:Очень хороший ополаскователь👍,24716557.0
Татьяна,Выкупили,"09 апреля, 19:27",star5,"Достоинства:Хороший ополаскиватель, заказываю не первый раз.",24716557.0
Ксения,Выкупили,"09 апреля, 19:25",star5,"Достоинства:Есть мерный колпачокКомментарий:Кровоточивость дёсен прошла за 3 дня, воспаление то же прошло, очень довольна , обезболивает, и немного замораживает . Первый купила в аптеке на 150 рублей дороже, потом на ВБ нашла , обсалютно одинаковый.",24716557.0
Наталья,Выкупили,"09 апреля, 13:48",star5,Все отлично,24716557.0
Ксения,Выкупили,"08 апреля, 12:46",star5,"Достоинства:отличная вещь у кого проблемные десна воспаляются кровоточат. за ночь снимает отек , в первые минуты работает анастетик что облегчает боль и помогает заснутьКомментарий:упаковано отлично",24716557.0
Александр,Выкупили,"07 апреля, 21:14",star5,"Достоинства:Главное, есть результат!Комментарий:Однозначно рекомендую этот ополаскиватель! Это лучший что пробовал. Парадонтолог прописал именно Асепта Актив. Купил в аптеке бутыль и еще два заказал на ВБ.
Получил заказ. Разницы нет АБСОЛЮТНО ни какой! Из аптеки бутыль без пломбы, без защитной мембраны, с голограммой. С ВБ бутыли ровно такие же, один в один, буква в букву!
Это всё ерунда. Самое главное что этот ополаскиватель РЕАЛЬНО ПОМОГАЕТ!!!
Как по мне все эти капризы по поводу пломб, голограмм и тд бред! Хоть в ведре мне его привезите, главное что он ДЕЙСТВУЕТ! Да легкое онемение есть, а это значит что ополаскиватель делает свое дело, и про непереносимости речи нет. Немеет у всех кто его использует.
Огромное спасибо продавцу и производителю! Еще раз мои рекомендации👏🏻👏🏻👏🏻 и очередные заказы от меня😉",24716557.0
Ольга,Выкупили,"06 апреля, 23:57 • Дополнен",star5,Помагает снять воспаление и больПервоначальный отзыв,24716557.0
Валентина,Выкупили,"06 апреля, 09:21",star5,"Достоинства:Этот  ополаскиватель мне назначил стоматолог, беру уже не первый раз и очень довольна.",24716557.0
Покупатель Wildberries,Выкупили,"05 апреля, 14:58",star5,Понравился,24716557.0
Краснов Владимир,Выкупили,"05 апреля, 12:00",star5,Достоинства:Все ОК.Комментарий:Пользуемся уже несколько лет.,24716557.0
Владимир,Выкупили,"05 апреля, 07:45",star5,Достоинства:Можно иногда побулькать,24716557.0
Наталия,Выкупили,"04 апреля, 16:44",star5,Достоинства:Давно беру только Асепту. Не могу найти замену. Главное не жгет рот. Но очень хорошо освежает.,24716557.0
Наталья,Выкупили,"04 апреля, 12:26",star5,Достоинства:Хороший,24716557.0
Игорь,Выкупили,"03 апреля, 17:57",star5,"Достоинства:ЛечитНедостатки:У меня не замораживает:)Комментарий:Прописал стоматолог для лечения воспаления языка)) плюс метрогил 
В комплексе Асепта работает, медленно но уверенно динамика положительная.",24716557.0
Светлана,Выкупили,"03 апреля, 12:00",star5,Достоинства:Лечит и обезболивает,24716557.0
Марина,Выкупили,"02 апреля, 19:22",star5,Достоинства:Реально помогает от воспалений и кроаотечений.Недостатки:Все так.Комментарий:Пользуюсь с пользой . 😁,24716557.0
Покупатель Wildberries,Выкупили,"02 апреля, 10:01",star5,"Достоинства:Помог от боли Десны, совместно с гелем, после протезирования болела Десна, сейчас всё хорошо",24716557.0
Кристина,Выкупили,"01 апреля, 04:19",star5,"Он прямо «замораживает». Если у вас естт дискомфорт и такой эффект вам необходим – отличный продукт. Моя мама довольна. Я попробовала, заморозка час держала… Он для профилактики и применяется курсом. На ежедневное использование нужно брать «полегче» вариант.",24716557.0
Галина,Выкупили,"31 марта, 20:59",star5,Достоинства:Очень хороший ополаскиватель!!!,24716557.0
Ната,Отказались,"31 марта, 12:58",star1,"Пришла без защитной пленки, не понятно что налито,жаль.",24716557.0
Ксения,Выкупили,"31 марта, 11:03",star5,"Достоинства:Очень приятный ополаскивательКомментарий:Вкус сладкой мяты, не жгучий. Очень приятный эффект, покупали по рекомендации стоматолога",24716557.0
Виолетта,Выкупили,"30 марта, 10:02",star5,Достоинства:С моим пародонтитом прекрасно!,24716557.0
Владимир,Выкупили,"28 марта, 14:44",star5,Помог от кровоточивости,24716557.0
Викторова Гюзэль Наилевна,Выкупили,"26 марта, 06:13",star5,Достоинства:Отличное средство. Помогает. Пользуюсь постоянно.,24716557.0
Анна,Выкупили,"26 марта, 06:03",star5,Достоинства:Эффект обезболивания нравится и свежесть после применения.,24716557.0
Надежда,Выкупили,"25 марта, 21:27",star5,"Достоинства:Классный ополаскивать, нравится.",24716557.0
Наталья,Выкупили,"24 марта, 04:43",star5,"Достоинства:Отличный ополаскиватель, пользуюсь им постоянно",24716557.0
Елена Сергеевна Разживина,Выкупили,"21 марта, 12:59",star5,"Достоинства:Обезболивает, снимает воспаление, на вкус нормальный.Комментарий:Самый лучший ополаскиватель для лечения гингивитов, пародонтитов и травматического воспаления слизистой  полости рта, на мой профессиональный взгляд.",24716557.0
Аня,Выкупили,"21 марта, 12:50",star5,"изначально покупала для обработки пирсинга языка, очень помогло и отек быстро спал. но и для обычного использования крутая штучка",24716557.0
Покупатель Wildberries,Выкупили,"21 марта, 08:59",star5,"Достоинства:Здравствуйте. Ополаскивателем  пользуюсь давно. До этого покупала в аптеке. Решила попробовать заказать на WB. И получилось прекрасно всё. И качество соответствует, и цена дешевле, и доставка во время и аккуратно. Спасибо.",24716557.0
Анна,Выкупили,"16 марта, 07:40",star5,Достоинства:Соответствует описаниюНедостатки:Упаковка вся изорванаКомментарий:Отличный ополаскиватель.Выполняет все заявленное.Рекомендую,24716557.0
Светлана,Выкупили,"15 марта, 20:25",star5,Достоинства:Хороший ополаскиватель. Уже пользовалась,24716557.0
Нина,Выкупили,"15 марта, 12:42",star5,,24716557.0
Лариса,Выкупили,"14 марта, 19:56",star5,Это моё спасение. Обезболивает на Ура. Заказываю не первый раз.,24716557.0
Виктория,Выкупили,"13 марта, 22:15",star5,Достоинства:Работает🔥Недостатки:Нет,24716557.0
Георгий,Выкупили,"13 марта, 15:21",star5,Достоинства:лечит,24716557.0
Ольга,Выкупили,"13 марта, 12:09",star5,"Не пробовала,дошло все хорошо,спасибо.",24716557.0
Вероника,Выкупили,"12 марта, 19:23",star5,Достоинства:Фирма=качество,24716557.0
Жанна,Выкупили,"11 марта, 18:01",star4,"Достоинства:Приятный вкусКомментарий:Вроде хороший, но не сказала бы что для десен прям уау помогает",24716557.0
Покупатель Wildberries,Выкупили,"06 марта, 09:50",star5,Достоинства:действительно снимает воспаление,24716557.0
Покупатель Wildberries,Выкупили,"05 марта, 23:02",star5,Достоинства:Все хорошоНедостатки:НечегоКомментарий:Отличный ополаскиватель,24716557.0
Татьяна,Выкупили,"03 марта, 22:35",star5,"Достоинства:Вроде не плохое средство, пользуюсь второй день, результата пока рано ждать.Недостатки:Язык немеет конкретно минут на 15, как после лечения зубов, как будто анестезию вкололи🙈",24716557.0
Елена,Выкупили,"03 марта, 15:35",star1,"Достоинства:Быстрая доставкаНедостатки:Нет штрих кода, сомневаюсь в качествеКомментарий:Ополаскиватель с синей этикеткой куплен в аптеке, там есть штрих код и ""пломба"", а с белой этикеткой куплен на WB, нет штрих кода и нет пломбы. Пользоваться не буду, выброшу. Жаль потраченных денег.",24716557.0
Татьяна,Выкупили,"02 марта, 19:57",star5,"Достоинства:Наверное полезный и эффективный ополаскиватель, но мне не приятно вяжет рот,долго не проходит.",24716557.0
Ирина,Выкупили,"28 февраля, 20:22",star5,Достоинства:Очень нравиться!,24716557.0
Олег,Выкупили,"27 февраля, 10:34",star5,"Отлично, беру уже второй раз",24716557.0
Покупатель Wildberries,Выкупили,"27 февраля, 07:03",star5,Достоинства:Хороший ополаскиватель,24716557.0
Наталья,Выкупили,"26 февраля, 14:17",star5,"Хороший ополаскиватель, хорошо лечит десна",24716557.0
Нина,Выкупили,"26 февраля, 08:50",star5,"ополаскиватель, как обычно, асепта))). ничего нового. и плохого тоже",24716557.0
Покупатель Wildberries,Выкупили,"26 февраля, 06:34",star5,Достоинства:Ополаскиватель очень хороший. Покупаю постоянно.,24716557.0
Татьяна,Выкупили,"25 февраля, 00:10",star5,"Ополаскиватель хороший, но имейте ввиду - язык сильно немеет минут на 15",24716557.0
Галина,Выкупили,"24 февраля, 14:38",star5,"Достоинства:Посоветовал врач, постоянно заказываю. Рекомендую",24716557.0
Валентина,Выкупили,"24 февраля, 14:31",star5,"Ополаскиватель очень хороший, очень помогает дёснам.спасибо",24716557.0
Татьяна,Выкупили,"24 февраля, 10:15",star5,"Достоинства:Пришёл быстроКомментарий:Хорошая помощь, помогает после 2 использования",24716557.0
Ольга,Выкупили,"22 февраля, 09:39",star5,Достоинства:Оч.хорошая штука для десен,24716557.0
Покупатель Wildberries,Выкупили,"21 февраля, 21:19",star5,"Беру не в первый раз, отличный товар 👍",24716557.0
Елена,Выкупили,"21 февраля, 06:23",star5,"Беру не первый раз, всё отлично, рекомендую.",24716557.0
Елена,Выкупили,"20 февраля, 12:41",star5,"Доставка в срок, все целое. Пользуюсь периодически.  Все устраивает.",24716557.0
Анастасия,Выкупили,"20 февраля, 10:29",star5,"Достоинства:Пока всё нравитсяКомментарий:Если у кого болят десны или зудят от воспаления, то это средство лучшее, что я пробовала. Спасибо моему стоматологу за совет. И производителю за ополаскиватель!",24716557.0
Покупатель Wildberries,Выкупили,"18 февраля, 23:14",star5,"Достоинства:У меня диагноз пародонтоз. Вечером после обработки дёсен ирригатором - это то что нужно! Действительно останавливает кровоточивость дёсен, заказываю уже третий раз",24716557.0
Яна,Выкупили,"18 февраля, 17:59",star4,"Достоинства:Освежает на долгоНедостатки:Немеет полость рта и язык . Ощущения , как после стомат.кабинета",24716557.0
Мария,Выкупили,"16 февраля, 19:26",star4,Достоинства:Десна не кроваточат,24716557.0
Екатерина,Выкупили,"16 февраля, 12:07",star5,"Достоинства:Работает👍.  Во время беременности очень сильно болят и кровоточат десна( пародонто) , после нескольких дней применения,есть результат.Недостатки:Пощипывает язык . Надеюсь после положительных отзывов цена не взлетит( итак не дёшево)Комментарий:Немного замораживает. 30 мин не пить и не принимать еду",24716557.0
Елена,Выкупили,"15 февраля, 21:35",star5,Достоинства:Мои десны 👌😁 в полном восторге от этого ополаскивателя,24716557.0
Анастасия,Выкупили,"15 февраля, 08:32",star5,"Достоинства:Отличный ополаскиватель, беру даже  при боле в горле смягчить боль и орошить",24716557.0
Оксана,Выкупили,"14 февраля, 22:58",star5,Достоинства:Помогает при воспалениях во рту,24716557.0
Елена,Выкупили,"14 февраля, 17:01",star5,Помогает.,24716557.0
Покупатель Wildberries,Выкупили,"14 февраля, 16:47",star5,"Всё норм,покупаю не первый раз",24716557.0
Наталия,Выкупили,"14 февраля, 12:33",star5,Достоинства:Лучший,24716557.0
Людмила,Выкупили,"13 февраля, 21:29",star5,Достоинства:Ополаскиватель-бомба,24716557.0
Ольга,Выкупили,"11 февраля, 19:39",star5,"Достоинства:👍👍👍работает на 100%, боль и воспаление снимает практически с первого применения!",24716557.0
Тагир,Выкупили,"11 февраля, 16:34",star5,"Достоинства:Отличное. Результат - положительный, на второй день 
Спасибо разработчикам и Валбериз.",24716557.0
Наталья,Выкупили,"10 февраля, 23:06",star5,"Достоинства:Очень хороший ополаскивательНедостатки:НетКомментарий:Подходит для каждодневного использования, рекомендую",24716557.0
Вадим,Выкупили,"09 февраля, 20:16",star5,👍👍,24716557.0
Людмила,Выкупили,"09 февраля, 14:19",star5,"Достоинства:Ополаскиватель отлично, упаковка запаяна!Комментарий:Доставка и упаковка заслуживает аплодисменты, спасибо  !",24716557.0
Дарья,Выкупили,"09 февраля, 14:16",star5,"Достоинства:брала по совету врача, работает мощно",24716557.0
Елена,Выкупили,"09 февраля, 14:12",star5,Достоинства:👍,24716557.0
Елена,Выкупили,"08 февраля, 21:20",star5,"Хороший ополаскиватель, свои функции выполняет, доставка отличная",24716557.0
Елена,Выкупили,"08 февраля, 15:15",star5,"Беру не в первый раз, помогает при чувствительности зубов.",24716557.0
Марина,Выкупили,"08 февраля, 14:17",star5,"Недостатки:такое ощущение, что замораживает языкКомментарий:уменьшает кровоточивость десен",24716557.0
Мария,Выкупили,"08 февраля, 14:15",star5,"Достоинства:Качество товараКомментарий:Товар оригинальный 100 % по крайней мере мне пришли два флакона оригинал ( сверяла с аптечным ) упаковка в коробку и плёнку, все целое. Эффект хороший и быстрый. Пользуюсь давно , страдаю стоматитом, единственный препарат который реально помогает ,обезбаливает , в короткий срок. Для меня прям спасение. Можно приобрести дешевле чем в аптеке. Спасибо ❤️  за качественный товар",24716557.0
Светлана,Выкупили,"08 февраля, 08:33",star5,Достоинства:Пришло  хорошо упаковано  ополаскиватель  действительно  хорошо работает  прям даже чувствуется  что десна становятся жеще,24716557.0
Инна,Выкупили,"07 февраля, 17:09",star4,Достоинства:Неплохо очищаетНедостатки:Немеет язык,24716557.0
Эльвира,Выкупили,"07 февраля, 10:55",star5,Хорошой ополаскиватель,24716557.0
Покупатель Wildberries,Выкупили,"07 февраля, 10:28 • Дополнен",star5,Хорошее средствоПервоначальный отзыв,24716557.0
Людмила,Выкупили,"06 февраля, 14:56",star5,Достоинства:Очень приятен для полоскания полости рта,24716557.0
Наталья,Выкупили,"05 февраля, 13:57",star5,Достоинства:Супер ополаскиватель!,24716557.0
Илхамия,Выкупили,"05 февраля, 10:30",star5,"Нравится свежесть во рту долгое время, надеюсь работает по написанному🙃",24716557.0
Вадим,Выкупили,"04 февраля, 18:58",star5,Достоинства:Взяли этот ополаскиватель по рекомендации лечащего врача - стоматолога. Хорошо справляется с поставленной задачей,24716557.0
Любовь,Выкупили,"03 февраля, 10:31",star5,"Достоинства:Вместе с зубной пастой Асепте классная вещь,буквально на четвертый день десны перестали кровить,спала краснота,ушла боль.Рекомендую!Спасибо производителю!Теперь только эта марка!",24716557.0
Мария,Выкупили,"02 февраля, 13:19",star5,"Достоинства:Работает отличноКомментарий:Рекомендовал мой стоматолог, в тандеме с бальзамом этого же производителя. У меня жуткий парадонтоз, приходится использовать. Отлично работает в паре. Для лечения. Если для профилактики, то можно и один ополаскиватель использовать. Хорошо, что есть достойные российские производители!",24716557.0
Ирина,Выкупили,"02 февраля, 10:40",star5,"Достоинства:Ополаскиватель пришёл быстро, упакован надёжно, обозначенные свойства соответствуют действительности",24716557.0
Покупатель Wildberries,Выкупили,"01 февраля, 21:10",star5,Достоинства:Избавил от неприятного запаха изо рта.,24716557.0
Галина Балан,Выкупили,"31 января, 17:22",star5,Достоинства:Супер?,24716557.0
Илья,Выкупили,"30 января, 19:38",star5,"Достоинства:Пушка, все как надо, запаковали отлично, крышка тоже на месте была.",24716557.0
Покупатель Wildberries,Выкупили,"30 января, 19:14",star4,Достоинства:Ополаскиватель отлично справляется с поставленной задачейНедостатки:Не положили бальзам,24716557.0
Галина,Выкупили,"30 января, 14:34",star4,Достоинства:Приятный ароматНедостатки:Вяжет язык,24716557.0
Людмила,Выкупили,"30 января, 11:53",star4,"Недостатки:Пришло в помятой упаковке и флакон был открыт,я правда незнаю какая фабричная упаковка и был не полныйКомментарий:Эффект не почувствовала,может это не оригинал?",24716557.0
Светлана,Выкупили,"30 января, 10:17",star5,"Достоинства:Отличный ополаскиватель. Стараюсь, чтобы всегда был в доме. Незаменим, как дежурное средство при воспалении десен.",24716557.0
Татьяна,Выкупили,"30 января, 07:22",star5,Достоинства:Великолепный опаласкиватель. Помог когда вырвали зуб по совету стоматолога.,24716557.0
Ольга,Выкупили,"28 января, 20:44",star5,"Достоинства:Пользуюсь давно, результат от использования отличный",24716557.0
Оксана,Выкупили,"27 января, 20:35",star5,Достоинства:Мне нравится этот ополаскиватель 👍,24716557.0
Надежда,Выкупили,"27 января, 20:10",star4,Достоинства:Товар соответствует описанию,24716557.0
Елена,Выкупили,"27 января, 12:07",star5,"Достоинства:Хорошая лечебная продукция.
Помогает. Спасибо.",24716557.0
Татьяна,Выкупили,"27 января, 07:39",star5,Достоинства:Хороший адгезивный ополаскиватель,24716557.0
Любовь,Выкупили,"26 января, 12:21",star5,"Достоинства:Мне очень помогает, пользуюсь всегда. К покупке советую. Спасибо производителю.",24716557.0
Владимир,Выкупили,"25 января, 12:01",star5,"Достоинства:раствор легко применятьНедостатки:нетКомментарий:Мне только это средство и помогает при кровоточивости десен, конечно в сочетании с зубной пастой Асепта от кровоточивости. Вылечить пародонтит невозможно, или очень дорого и то не факт. Поэтому рекомендую.",24716557.0
Татьяна,Выкупили,"24 января, 08:40",star5,"Достоинства:Постоянно пользуюсь этой фирмой, зубной пастой, гель хорошо снимает воспаление десен, рекомендую.",24716557.0
